Country,Criteria,Type,Coverage,Year,Migrants
Germany,Residence,Emigrants,Both,1983,487268
Germany,Residence,Immigrants,Both,1983,372027
Iceland,Residence,Immigrants,Both,1983,2154
Italy,Residence,Immigrants,Both,1983,98330
Luxembourg,Residence,Immigrants,Both,1983,5427
Netherlands,Residence,Immigrants,Both,1983,66762
Norway,Residence,Emigrants,Both,1983,15778
Norway,Residence,Immigrants,Both,1983,20063
Spain,Residence,Immigrants,Both,1983,17477
Sweden,Residence,Emigrants,Both,1983,25269
Sweden,Residence,Immigrants,Both,1983,27495
United Kingdom,Residence,Immigrants,Both,1983,202000
Australia,Residence,Emigrants,Both,1984,96360
Australia,Residence,Immigrants,Both,1984,153530
Belgium,Residence,Immigrants,Both,1984,47002
Denmark,Residence,Emigrants,Both,1984,25053
Denmark,Residence,Immigrants,Both,1984,29035
Finland,Residence,Emigrants,Both,1984,7467
Finland,Residence,Immigrants,Both,1984,11686
Germany,Residence,Emigrants,Both,1984,604832
Germany,Residence,Immigrants,Both,1984,457093
Iceland,Residence,Immigrants,Both,1984,1939
Italy,Residence,Immigrants,Both,1984,86915
Luxembourg,Residence,Immigrants,Both,1984,5340
Netherlands,Residence,Immigrants,Both,1984,66907
Norway,Residence,Emigrants,Both,1984,15927
Norway,Residence,Immigrants,Both,1984,19688
Spain,Residence,Immigrants,Both,1984,17205
Sweden,Residence,Emigrants,Both,1984,22825
Sweden,Residence,Immigrants,Both,1984,31486
United Kingdom,Residence,Immigrants,Both,1984,201000
Australia,Residence,Emigrants,Both,1985,93440
Australia,Residence,Immigrants,Both,1985,172550
Belgium,Residence,Immigrants,Both,1985,47042
Denmark,Residence,Emigrants,Both,1985,26715
Denmark,Residence,Immigrants,Both,1985,36214
Finland,Residence,Emigrants,Both,1985,7737
Finland,Residence,Immigrants,Both,1985,10465
Germany,Residence,Emigrants,Both,1985,425313
Germany,Residence,Immigrants,Both,1985,512108
Greece,Residence,Immigrants,Both,1985,33729
Iceland,Residence,Immigrants,Both,1985,1827
Italy,Residence,Immigrants,Both,1985,82183
Luxembourg,Residence,Immigrants,Both,1985,6582
Netherlands,Residence,Immigrants,Both,1985,79362
Norway,Residence,Emigrants,Both,1985,15630
Norway,Residence,Immigrants,Both,1985,21858
Spain,Residence,Immigrants,Both,1985,20103
Sweden,Residence,Emigrants,Both,1985,22036
Sweden,Residence,Immigrants,Both,1985,33127
United Kingdom,Residence,Immigrants,Both,1985,232000
Australia,Residence,Emigrants,Both,1986,92450
Australia,Residence,Immigrants,Both,1986,196690
Belgium,Residence,Immigrants,Both,1986,48959
Denmark,Residence,Emigrants,Both,1986,27928
Denmark,Residence,Immigrants,Both,1986,38932
Finland,Residence,Emigrants,Both,1986,8269
Finland,Residence,Immigrants,Both,1986,9927
Germany,Residence,Emigrants,Both,1986,407139
Germany,Residence,Immigrants,Both,1986,598479
Greece,Residence,Immigrants,Both,1986,30569
Iceland,Residence,Emigrants,Both,1986,2964
Iceland,Residence,Immigrants,Both,1986,2703
Italy,Residence,Emigrants,Both,1986,49775
Italy,Residence,Immigrants,Both,1986,75725
Luxembourg,Residence,Immigrants,Both,1986,7448
Netherlands,Residence,Immigrants,Both,1986,87387
Norway,Residence,Emigrants,Both,1986,16745
Norway,Residence,Immigrants,Both,1986,24196
Spain,Residence,Immigrants,Both,1986,14088
Sweden,Residence,Emigrants,Both,1986,24495
Sweden,Residence,Immigrants,Both,1986,39487
United Kingdom,Residence,Immigrants,Both,1986,250000
Australia,Residence,Emigrants,Both,1987,97770
Australia,Residence,Immigrants,Both,1987,221620
Belgium,Residence,Immigrants,Both,1987,49750
Denmark,Residence,Emigrants,Both,1987,30123
Denmark,Residence,Immigrants,Both,1987,36296
Finland,Residence,Emigrants,Both,1987,8475
Finland,Residence,Immigrants,Both,1987,9142
Germany,Residence,Emigrants,Both,1987,400816
Germany,Residence,Immigrants,Both,1987,614603
Greece,Residence,Immigrants,Both,1987,34787
Iceland,Residence,Emigrants,Both,1987,2408
Iceland,Residence,Immigrants,Both,1987,3616
Ireland,Residence,Emigrants,Both,1987,40200
Ireland,Residence,Immigrants,Both,1987,17000
Italy,Residence,Emigrants,Both,1987,43669
Italy,Residence,Immigrants,Both,1987,104459
Luxembourg,Residence,Immigrants,Both,1987,8248
Netherlands,Residence,Immigrants,Both,1987,95935
Norway,Residence,Emigrants,Both,1987,17380
Norway,Residence,Immigrants,Both,1987,31149
Spain,Residence,Immigrants,Both,1987,16863
Sweden,Residence,Emigrants,Both,1987,20673
Sweden,Residence,Immigrants,Both,1987,42666
United Kingdom,Residence,Immigrants,Both,1987,211000
Australia,Residence,Emigrants,Both,1988,104770
Australia,Residence,Immigrants,Both,1988,253860
Belgium,Residence,Immigrants,Both,1988,48484
Denmark,Residence,Emigrants,Both,1988,34544
Denmark,Residence,Immigrants,Both,1988,35051
Finland,Residence,Emigrants,Both,1988,8447
Finland,Residence,Immigrants,Both,1988,9720
Germany,Residence,Emigrants,Both,1988,421947
Germany,Residence,Immigrants,Both,1988,903892
Greece,Residence,Immigrants,Both,1988,37322
Iceland,Residence,Emigrants,Both,1988,2685
Iceland,Residence,Immigrants,Both,1988,4151
Ireland,Residence,Emigrants,Both,1988,61100
Ireland,Residence,Immigrants,Both,1988,19000
Italy,Residence,Emigrants,Both,1988,41861
Italy,Residence,Immigrants,Both,1988,85791
Luxembourg,Residence,Immigrants,Both,1988,9064
Netherlands,Residence,Immigrants,Both,1988,91238
Norway,Residence,Emigrants,Both,1988,19821
Norway,Residence,Immigrants,Both,1988,29964
Spain,Residence,Immigrants,Both,1988,24380
Sweden,Residence,Emigrants,Both,1988,21461
Sweden,Residence,Immigrants,Both,1988,51092
United Kingdom,Residence,Immigrants,Both,1988,216000
Australia,Residence,Emigrants,Both,1989,120040
Australia,Residence,Immigrants,Both,1989,238050
Belgium,Residence,Immigrants,Both,1989,54169
Denmark,Residence,Emigrants,Both,1989,34949
Denmark,Residence,Immigrants,Both,1989,38391
Finland,Residence,Emigrants,Both,1989,7374
Finland,Residence,Immigrants,Both,1989,11219
Germany,Residence,Emigrants,Both,1989,544967
Germany,Residence,Immigrants,Both,1989,1522190
Greece,Residence,Immigrants,Both,1989,38644
Iceland,Residence,Emigrants,Both,1989,3841
Iceland,Residence,Immigrants,Both,1989,2755
Ireland,Residence,Emigrants,Both,1989,70500
Ireland,Residence,Immigrants,Both,1989,27000
Italy,Residence,Emigrants,Both,1989,65647
Italy,Residence,Immigrants,Both,1989,81201
Luxembourg,Residence,Immigrants,Both,1989,9143
Netherlands,Residence,Immigrants,Both,1989,98914
Norway,Residence,Emigrants,Both,1989,27300
Norway,Residence,Immigrants,Both,1989,25847
Spain,Residence,Immigrants,Both,1989,33910
Sweden,Residence,Emigrants,Both,1989,21484
Sweden,Residence,Immigrants,Both,1989,65866
United Kingdom,Residence,Immigrants,Both,1989,250000
Australia,Residence,Emigrants,Both,1990,137470
Australia,Residence,Immigrants,Both,1990,234050
Belgium,Residence,Immigrants,Both,1990,62662
Denmark,Residence,Emigrants,Both,1990,32383
Denmark,Residence,Immigrants,Both,1990,40715
Finland,Residence,Emigrants,Both,1990,6477
Finland,Residence,Immigrants,Both,1990,13558
Germany,Residence,Emigrants,Both,1990,610595
Germany,Residence,Immigrants,Both,1990,1651593
Greece,Residence,Immigrants,Both,1990,42021
Iceland,Residence,Emigrants,Both,1990,3847
Iceland,Residence,Immigrants,Both,1990,3166
Ireland,Residence,Emigrants,Both,1990,56200
Ireland,Residence,Immigrants,Both,1990,33000
Italy,Residence,Emigrants,Both,1990,55989
Italy,Residence,Immigrants,Both,1990,166754
Kyrgyz Republic,Residence,Emigrants,Both,1990,82852
Kyrgyz Republic,Residence,Immigrants,Both,1990,40939
Latvia,Residence,Immigrants,Both,1990,32285
Luxembourg,Residence,Immigrants,Both,1990,10281
Netherlands,Residence,Immigrants,Both,1990,117350
Norway,Residence,Emigrants,Both,1990,23784
Norway,Residence,Immigrants,Both,1990,25494
Poland,Residence,Immigrants,Both,1990,2626
Romania,Residence,Emigrants,Both,1990,96929
Slovenia,Residence,Immigrants,Both,1990,7075
Spain,Residence,Immigrants,Both,1990,33966
Sweden,Residence,Emigrants,Both,1990,25196
Sweden,Residence,Immigrants,Both,1990,60048
United Kingdom,Residence,Immigrants,Both,1990,267000
Australia,Residence,Emigrants,Both,1991,143710
Australia,Residence,Immigrants,Both,1991,237240
Belgium,Residence,Immigrants,Both,1991,67460
Croatia,Residence,Immigrants,Both,1991,10050
Denmark,Residence,Emigrants,Both,1991,32629
Denmark,Residence,Immigrants,Both,1991,43567
Finland,Residence,Emigrants,Both,1991,5984
Finland,Residence,Immigrants,Both,1991,19001
Germany,Residence,Emigrants,Both,1991,582240
Germany,Residence,Immigrants,Both,1991,1198978
Greece,Residence,Immigrants,Both,1991,24346
Iceland,Residence,Emigrants,Both,1991,2982
Iceland,Residence,Immigrants,Both,1991,3989
Ireland,Residence,Emigrants,Both,1991,35300
Ireland,Residence,Immigrants,Both,1991,33000
Italy,Residence,Emigrants,Both,1991,57730
Italy,Residence,Immigrants,Both,1991,126935
Kyrgyz Republic,Residence,Emigrants,Both,1991,71315
Kyrgyz Republic,Residence,Immigrants,Both,1991,37558
Latvia,Residence,Immigrants,Both,1991,14684
Luxembourg,Residence,Immigrants,Both,1991,10913
Netherlands,Residence,Immigrants,Both,1991,120249
Norway,Residence,Emigrants,Both,1991,18238
Norway,Residence,Immigrants,Both,1991,26283
Poland,Residence,Immigrants,Both,1991,5040
Romania,Residence,Emigrants,Both,1991,44160
Russian Federation,Residence,Emigrants,Both,1991,675497
Russian Federation,Residence,Immigrants,Both,1991,692238
Slovenia,Residence,Immigrants,Both,1991,5989
Spain,Residence,Immigrants,Both,1991,24320
Sweden,Residence,Emigrants,Both,1991,24745
Sweden,Residence,Immigrants,Both,1991,49731
United Kingdom,Residence,Immigrants,Both,1991,267000
Australia,Residence,Emigrants,Both,1992,143660
Australia,Residence,Immigrants,Both,1992,220460
Belgium,Residence,Immigrants,Both,1992,66763
Croatia,Residence,Emigrants,Both,1992,8859
Croatia,Residence,Immigrants,Both,1992,48324
Cyprus,Residence,Immigrants,Both,1992,9994
Denmark,Residence,Emigrants,Both,1992,31915
Denmark,Residence,Immigrants,Both,1992,43377
Estonia,Residence,Immigrants,Both,1992,2587
Finland,Residence,Emigrants,Both,1992,6055
Finland,Residence,Immigrants,Both,1992,14554
Germany,Residence,Emigrants,Both,1992,701424
Germany,Residence,Immigrants,Both,1992,1502198
Greece,Residence,Immigrants,Both,1992,32133
Iceland,Residence,Emigrants,Both,1992,3213
Iceland,Residence,Immigrants,Both,1992,2959
Ireland,Residence,Emigrants,Both,1992,33400
Ireland,Residence,Immigrants,Both,1992,41000
Italy,Residence,Emigrants,Both,1992,56987
Italy,Residence,Immigrants,Both,1992,113916
Kyrgyz Republic,Residence,Emigrants,Both,1992,103728
Kyrgyz Republic,Residence,Immigrants,Both,1992,26275
Latvia,Residence,Immigrants,Both,1992,6199
Lithuania,Residence,Immigrants,Both,1992,6640
Luxembourg,Residence,Immigrants,Both,1992,10696
Netherlands,Residence,Immigrants,Both,1992,116926
Norway,Residence,Emigrants,Both,1992,16801
Norway,Residence,Immigrants,Both,1992,26743
Poland,Residence,Immigrants,Both,1992,6515
Portugal,Residence,Immigrants,Both,1992,13735
Romania,Residence,Emigrants,Both,1992,31152
Russian Federation,Residence,Emigrants,Both,1992,673143
Russian Federation,Residence,Immigrants,Both,1992,926020
Slovenia,Residence,Immigrants,Both,1992,3461
Spain,Residence,Immigrants,Both,1992,38882
Sweden,Residence,Emigrants,Both,1992,25726
Sweden,Residence,Immigrants,Both,1992,45348
United Kingdom,Residence,Immigrants,Both,1992,216000
Australia,Residence,Emigrants,Both,1993,140420
Australia,Residence,Immigrants,Both,1993,197940
Belgium,Residence,Immigrants,Both,1993,63749
Croatia,Residence,Emigrants,Both,1993,9169
Croatia,Residence,Immigrants,Both,1993,57702
Czech Republic,Residence,Emigrants,Both,1993,7416
Denmark,Residence,Emigrants,Both,1993,32344
Denmark,Residence,Immigrants,Both,1993,43400
Estonia,Residence,Immigrants,Both,1993,1967
Finland,Residence,Emigrants,Both,1993,6405
Finland,Residence,Immigrants,Both,1993,14795
Germany,Residence,Emigrants,Both,1993,796859
Germany,Residence,Immigrants,Both,1993,1277408
Greece,Residence,Immigrants,Both,1993,27472
Iceland,Residence,Emigrants,Both,1993,2901
Iceland,Residence,Immigrants,Both,1993,2698
Ireland,Residence,Emigrants,Both,1993,35100
Ireland,Residence,Immigrants,Both,1993,35000
Italy,Residence,Emigrants,Both,1993,61282
Italy,Residence,Immigrants,Both,1993,100401
Kyrgyz Republic,Residence,Emigrants,Both,1993,143619
Kyrgyz Republic,Residence,Immigrants,Both,1993,23015
Latvia,Residence,Immigrants,Both,1993,4114
Lithuania,Residence,Immigrants,Both,1993,2850
Luxembourg,Residence,Immigrants,Both,1993,9857
Netherlands,Residence,Immigrants,Both,1993,119154
Norway,Residence,Emigrants,Both,1993,18903
Norway,Residence,Immigrants,Both,1993,31711
Poland,Residence,Immigrants,Both,1993,5924
Portugal,Residence,Immigrants,Both,1993,9852
Romania,Residence,Emigrants,Both,1993,18446
Russian Federation,Residence,Emigrants,Both,1993,483028
Russian Federation,Residence,Immigrants,Both,1993,923280
Slovak Republic,Residence,Emigrants,Both,1993,7355
Slovak Republic,Residence,Immigrants,Both,1993,9109
Slovenia,Residence,Immigrants,Both,1993,2745
Spain,Residence,Immigrants,Both,1993,33026
Sweden,Residence,Emigrants,Both,1993,29874
Sweden,Residence,Immigrants,Both,1993,61872
United Kingdom,Residence,Immigrants,Both,1993,209000
Australia,Residence,Emigrants,Both,1994,141680
Australia,Residence,Immigrants,Both,1994,221920
Croatia,Residence,Emigrants,Both,1994,10163
Croatia,Residence,Immigrants,Both,1994,33426
Czech Republic,Residence,Emigrants,Both,1994,264
Czech Republic,Residence,Immigrants,Both,1994,10207
Denmark,Residence,Emigrants,Both,1994,34710
Denmark,Residence,Immigrants,Both,1994,44961
Estonia,Residence,Immigrants,Both,1994,1396
Finland,Residence,Emigrants,Both,1994,8672
Finland,Residence,Immigrants,Both,1994,11611
Germany,Residence,Emigrants,Both,1994,740525
Iceland,Residence,Emigrants,Both,1994,3436
Iceland,Residence,Immigrants,Both,1994,2676
Ireland,Residence,Emigrants,Both,1994,34800
Ireland,Residence,Immigrants,Both,1994,30000
Italy,Residence,Emigrants,Both,1994,65548
Italy,Residence,Immigrants,Both,1994,99105
Kyrgyz Republic,Residence,Emigrants,Both,1994,71197
Kyrgyz Republic,Residence,Immigrants,Both,1994,20104
Latvia,Residence,Immigrants,Both,1994,3046
Lithuania,Residence,Immigrants,Both,1994,1664
Luxembourg,Residence,Immigrants,Both,1994,10030
Netherlands,Residence,Immigrants,Both,1994,92143
Norway,Residence,Emigrants,Both,1994,19475
Norway,Residence,Immigrants,Both,1994,26911
Portugal,Residence,Immigrants,Both,1994,5653
Romania,Residence,Emigrants,Both,1994,17146
Romania,Residence,Immigrants,Both,1994,878
Russian Federation,Residence,Emigrants,Both,1994,337121
Russian Federation,Residence,Immigrants,Both,1994,1146735
Slovak Republic,Residence,Emigrants,Both,1994,154
Slovak Republic,Residence,Immigrants,Both,1994,4923
Slovenia,Residence,Immigrants,Both,1994,1919
Spain,Residence,Immigrants,Both,1994,34123
Sweden,Residence,Emigrants,Both,1994,32661
Sweden,Residence,Immigrants,Both,1994,83598
United Kingdom,Residence,Immigrants,Both,1994,253000
Australia,Residence,Emigrants,Both,1995,149360
Australia,Residence,Immigrants,Both,1995,253940
Azerbaijan,Residence,Emigrants,Both,1995,16033
Azerbaijan,Residence,Immigrants,Both,1995,6222
Croatia,Residence,Emigrants,Both,1995,15413
Croatia,Residence,Immigrants,Both,1995,42026
Czech Republic,Residence,Emigrants,Both,1995,540
Czech Republic,Residence,Immigrants,Both,1995,10540
Denmark,Residence,Emigrants,Both,1995,34630
Denmark,Residence,Immigrants,Both,1995,63187
Estonia,Residence,Immigrants,Both,1995,1229
Finland,Residence,Emigrants,Both,1995,8957
Finland,Residence,Immigrants,Both,1995,12222
Germany,Residence,Emigrants,Both,1995,698113
Germany,Residence,Immigrants,Both,1995,1096048
Greece,Residence,Immigrants,Both,1995,20859
Iceland,Residence,Emigrants,Both,1995,4285
Iceland,Residence,Immigrants,Both,1995,2867
Ireland,Residence,Emigrants,Both,1995,33200
Ireland,Residence,Immigrants,Both,1995,38000
Italy,Residence,Emigrants,Both,1995,43303
Italy,Residence,Immigrants,Both,1995,96710
Kyrgyz Republic,Residence,Emigrants,Both,1995,37302
Kyrgyz Republic,Residence,Immigrants,Both,1995,18368
Latvia,Residence,Emigrants,Both,1995,16512
Latvia,Residence,Immigrants,Both,1995,2799
Lithuania,Residence,Immigrants,Both,1995,2020
Luxembourg,Residence,Immigrants,Both,1995,10325
Netherlands,Residence,Immigrants,Both,1995,96099
Norway,Residence,Emigrants,Both,1995,19312
Norway,Residence,Immigrants,Both,1995,25678
Portugal,Residence,Immigrants,Both,1995,5025
Romania,Residence,Emigrants,Both,1995,25675
Romania,Residence,Immigrants,Both,1995,4458
Russian Federation,Residence,Emigrants,Both,1995,339600
Russian Federation,Residence,Immigrants,Both,1995,842050
Slovak Republic,Residence,Emigrants,Both,1995,213
Slovak Republic,Residence,Immigrants,Both,1995,3055
Slovenia,Residence,Immigrants,Both,1995,5879
Spain,Residence,Immigrants,Both,1995,36092
Sweden,Residence,Emigrants,Both,1995,33984
Sweden,Residence,Immigrants,Both,1995,45887
Switzerland,Residence,Immigrants,Both,1995,113696
United Kingdom,Residence,Immigrants,Both,1995,245000
Australia,Residence,Emigrants,Both,1996,158260
Australia,Residence,Immigrants,Both,1996,261330
Austria,Residence,Immigrants,Both,1996,69930
Azerbaijan,Residence,Emigrants,Both,1996,13151
Azerbaijan,Residence,Immigrants,Both,1996,5781
Croatia,Residence,Emigrants,Both,1996,10027
Croatia,Residence,Immigrants,Both,1996,44596
Czech Republic,Residence,Emigrants,Both,1996,728
Czech Republic,Residence,Immigrants,Both,1996,10857
Denmark,Residence,Emigrants,Both,1996,37312
Denmark,Residence,Immigrants,Both,1996,54445
Estonia,Residence,Immigrants,Both,1996,1114
Finland,Residence,Emigrants,Both,1996,10587
Finland,Residence,Immigrants,Both,1996,13294
Germany,Residence,Emigrants,Both,1996,677494
Germany,Residence,Immigrants,Both,1996,959691
Greece,Residence,Immigrants,Both,1996,22214
Iceland,Residence,Emigrants,Both,1996,4108
Iceland,Residence,Immigrants,Both,1996,3664
Ireland,Residence,Emigrants,Both,1996,31200
Ireland,Residence,Immigrants,Both,1996,39000
Italy,Residence,Emigrants,Both,1996,47510
Italy,Residence,Immigrants,Both,1996,171967
Kyrgyz Republic,Residence,Emigrants,Both,1996,27584
Kyrgyz Republic,Residence,Immigrants,Both,1996,15910
Latvia,Residence,Emigrants,Both,1996,12828
Latvia,Residence,Immigrants,Both,1996,2747
Lithuania,Residence,Immigrants,Both,1996,3025
Luxembourg,Residence,Immigrants,Both,1996,10027
Netherlands,Residence,Immigrants,Both,1996,108749
Norway,Residence,Emigrants,Both,1996,20590
Norway,Residence,Immigrants,Both,1996,26407
Portugal,Residence,Immigrants,Both,1996,3644
Romania,Residence,Emigrants,Both,1996,21526
Romania,Residence,Immigrants,Both,1996,2053
Russian Federation,Residence,Emigrants,Both,1996,288048
Russian Federation,Residence,Immigrants,Both,1996,631592
Slovak Republic,Residence,Emigrants,Both,1996,222
Slovak Republic,Residence,Immigrants,Both,1996,2477
Slovenia,Residence,Immigrants,Both,1996,9495
Spain,Residence,Immigrants,Both,1996,29895
Sweden,Residence,Emigrants,Both,1996,33884
Sweden,Residence,Immigrants,Both,1996,39895
"Macedonia, FYR",Residence,Immigrants,Both,1996,850
United Kingdom,Residence,Immigrants,Both,1996,258000
Australia,Residence,Emigrants,Both,1997,176560
Australia,Residence,Immigrants,Both,1997,260220
Austria,Residence,Immigrants,Both,1997,70122
Azerbaijan,Residence,Emigrants,Both,1997,15703
Azerbaijan,Residence,Immigrants,Both,1997,7528
Croatia,Residence,Emigrants,Both,1997,18531
Croatia,Residence,Immigrants,Both,1997,52343
Cyprus,Residence,Immigrants,Both,1997,6149
Czech Republic,Residence,Emigrants,Both,1997,804
Czech Republic,Residence,Immigrants,Both,1997,12880
Denmark,Residence,Emigrants,Both,1997,38393
Denmark,Residence,Immigrants,Both,1997,50105
Estonia,Residence,Immigrants,Both,1997,1156
Finland,Residence,Emigrants,Both,1997,9854
Finland,Residence,Immigrants,Both,1997,13564
Germany,Residence,Emigrants,Both,1997,746969
Germany,Residence,Immigrants,Both,1997,840633
Greece,Residence,Immigrants,Both,1997,22078
Iceland,Residence,Emigrants,Both,1997,3921
Iceland,Residence,Immigrants,Both,1997,3990
Ireland,Residence,Emigrants,Both,1997,25400
Ireland,Residence,Immigrants,Both,1997,45625
Italy,Residence,Emigrants,Both,1997,46273
Italy,Residence,Immigrants,Both,1997,162857
Kyrgyz Republic,Residence,Emigrants,Both,1997,19538
Kyrgyz Republic,Residence,Immigrants,Both,1997,12799
Latvia,Residence,Emigrants,Both,1997,12333
Latvia,Residence,Immigrants,Both,1997,2913
Lithuania,Residence,Immigrants,Both,1997,2536
Malta,Residence,Immigrants,Both,1997,937
Netherlands,Residence,Immigrants,Both,1997,109860
Norway,Residence,Emigrants,Both,1997,21257
Norway,Residence,Immigrants,Both,1997,31957
Portugal,Residence,Immigrants,Both,1997,3298
Romania,Residence,Emigrants,Both,1997,19945
Romania,Residence,Immigrants,Both,1997,6600
Russian Federation,Residence,Emigrants,Both,1997,232987
Russian Federation,Residence,Immigrants,Both,1997,597651
Slovak Republic,Residence,Emigrants,Both,1997,572
Slovak Republic,Residence,Immigrants,Both,1997,2303
Slovenia,Residence,Immigrants,Both,1997,7889
Spain,Residence,Immigrants,Both,1997,57877
Sweden,Residence,Emigrants,Both,1997,38543
Sweden,Residence,Immigrants,Both,1997,44818
United Kingdom,Residence,Immigrants,Both,1997,285000
Australia,Residence,Emigrants,Both,1998,179600
Australia,Residence,Immigrants,Both,1998,268390
Austria,Residence,Emigrants,Both,1998,64272
Austria,Residence,Immigrants,Both,1998,72723
Azerbaijan,Residence,Emigrants,Both,1998,10498
Azerbaijan,Residence,Immigrants,Both,1998,5404
Belgium,Residence,Emigrants,Both,1998,72087
Belgium,Residence,Immigrants,Both,1998,83812
Cyprus,Residence,Emigrants,Both,1998,6800
Cyprus,Residence,Immigrants,Both,1998,8622
Denmark,Residence,Emigrants,Both,1998,40340
Denmark,Residence,Immigrants,Both,1998,51372
Estonia,Residence,Emigrants,Both,1998,2507
Estonia,Residence,Immigrants,Both,1998,1219
Finland,Residence,Emigrants,Both,1998,10817
Finland,Residence,Immigrants,Both,1998,14192
Germany,Residence,Emigrants,Both,1998,755358
Germany,Residence,Immigrants,Both,1998,802456
Greece,Residence,Immigrants,Both,1998,12630
Iceland,Residence,Emigrants,Both,1998,3682
Iceland,Residence,Immigrants,Both,1998,4563
Ireland,Residence,Emigrants,Both,1998,28600
Ireland,Residence,Immigrants,Both,1998,48175
Italy,Residence,Emigrants,Both,1998,45889
Italy,Residence,Immigrants,Both,1998,156885
Kyrgyz Republic,Residence,Emigrants,Both,1998,15671
Kyrgyz Republic,Residence,Immigrants,Both,1998,10219
Latvia,Residence,Emigrants,Both,1998,8874
Latvia,Residence,Immigrants,Both,1998,3123
Lithuania,Residence,Emigrants,Both,1998,2130
Lithuania,Residence,Immigrants,Both,1998,2706
Luxembourg,Residence,Emigrants,Both,1998,7574
Luxembourg,Residence,Immigrants,Both,1998,11630
Malta,Residence,Emigrants,Both,1998,121
Malta,Residence,Immigrants,Both,1998,349
Netherlands,Residence,Emigrants,Both,1998,60441
Netherlands,Residence,Immigrants,Both,1998,122407
Norway,Residence,Emigrants,Both,1998,22881
Norway,Residence,Immigrants,Both,1998,36704
Poland,Residence,Emigrants,Both,1998,22177
Poland,Residence,Immigrants,Both,1998,8532
Portugal,Residence,Emigrants,Both,1998,11100
Portugal,Residence,Immigrants,Both,1998,43100
Romania,Residence,Emigrants,Both,1998,17536
Romania,Residence,Immigrants,Both,1998,11907
Russian Federation,Residence,Emigrants,Both,1998,213377
Russian Federation,Residence,Immigrants,Both,1998,513551
Slovak Republic,Residence,Emigrants,Both,1998,746
Slovak Republic,Residence,Immigrants,Both,1998,2052
Slovenia,Residence,Emigrants,Both,1998,6708
Slovenia,Residence,Immigrants,Both,1998,4603
Spain,Residence,Immigrants,Both,1998,81227
Sweden,Residence,Emigrants,Both,1998,38518
Sweden,Residence,Immigrants,Both,1998,49391
Switzerland,Residence,Immigrants,Both,1998,95955
United Kingdom,Residence,Emigrants,Both,1998,198934
United Kingdom,Residence,Immigrants,Both,1998,332390
Australia,Residence,Emigrants,Both,1999,185670
Australia,Residence,Immigrants,Both,1999,289870
Austria,Residence,Emigrants,Both,1999,66923
Austria,Residence,Immigrants,Both,1999,86710
Azerbaijan,Residence,Emigrants,Both,1999,9142
Azerbaijan,Residence,Immigrants,Both,1999,4806
Belgium,Residence,Emigrants,Both,1999,74097
Belgium,Residence,Immigrants,Both,1999,91624
Croatia,Residence,Emigrants,Both,1999,14285
Croatia,Residence,Immigrants,Both,1999,32910
Cyprus,Residence,Immigrants,Both,1999,8523
Czech Republic,Residence,Emigrants,Both,1999,1136
Czech Republic,Residence,Immigrants,Both,1999,9910
Denmark,Residence,Emigrants,Both,1999,41340
Denmark,Residence,Immigrants,Both,1999,50236
Estonia,Residence,Emigrants,Both,1999,1882
Estonia,Residence,Immigrants,Both,1999,1198
Finland,Residence,Emigrants,Both,1999,11966
Finland,Residence,Immigrants,Both,1999,14744
France,Residence,Immigrants,Both,1999,57846
Germany,Residence,Emigrants,Both,1999,685635
Germany,Residence,Immigrants,Both,1999,874023
Iceland,Residence,Emigrants,Both,1999,3663
Iceland,Residence,Immigrants,Both,1999,4785
Ireland,Residence,Emigrants,Both,1999,27825
Ireland,Residence,Immigrants,Both,1999,51675
Italy,Residence,Emigrants,Both,1999,64873
Italy,Residence,Immigrants,Both,1999,185052
Kyrgyz Republic,Residence,Emigrants,Both,1999,17818
Kyrgyz Republic,Residence,Immigrants,Both,1999,7879
Latvia,Residence,Emigrants,Both,1999,5898
Latvia,Residence,Immigrants,Both,1999,1813
Liechtenstein,Residence,Emigrants,Both,1999,1369
Liechtenstein,Residence,Immigrants,Both,1999,2679
Lithuania,Residence,Emigrants,Both,1999,1369
Lithuania,Residence,Immigrants,Both,1999,2679
Luxembourg,Residence,Emigrants,Both,1999,8075
Luxembourg,Residence,Immigrants,Both,1999,12794
Malta,Residence,Emigrants,Both,1999,67
Malta,Residence,Immigrants,Both,1999,339
Netherlands,Residence,Emigrants,Both,1999,59023
Netherlands,Residence,Immigrants,Both,1999,119151
Norway,Residence,Emigrants,Both,1999,22842
Norway,Residence,Immigrants,Both,1999,41841
Poland,Residence,Emigrants,Both,1999,21536
Poland,Residence,Immigrants,Both,1999,7525
Portugal,Residence,Emigrants,Both,1999,14040
Portugal,Residence,Immigrants,Both,1999,52040
Romania,Residence,Emigrants,Both,1999,12594
Romania,Residence,Immigrants,Both,1999,10078
Russian Federation,Residence,Emigrants,Both,1999,214963
Russian Federation,Residence,Immigrants,Both,1999,379726
Slovak Republic,Residence,Emigrants,Both,1999,618
Slovak Republic,Residence,Immigrants,Both,1999,2072
Slovenia,Residence,Emigrants,Both,1999,2606
Slovenia,Residence,Immigrants,Both,1999,4941
Spain,Residence,Immigrants,Both,1999,127365
Sweden,Residence,Emigrants,Both,1999,35705
Sweden,Residence,Immigrants,Both,1999,49839
Switzerland,Residence,Emigrants,Both,1999,91804
Switzerland,Residence,Immigrants,Both,1999,107953
